1,337,118,4,4.5,4.5,9.65,1,Yes
2,324,107,4,4,4.5,8.87,1,Depends
3,316,104,3,3,3.5,8,1,Depends
4,322,110,3,3.5,2.5,8.67,1,Yes
5,314,103,2,2,3,8.21,0,Depends
6,330,115,5,4.5,3,9.34,1,Yes
7,321,109,3,3,4,8.2,1,Depends
8,308,101,2,3,4,7.9,0,Depends
9,302,102,1,2,1.5,8,0,No
10,323,108,3,3.5,3,8.6,0,No
11,325,106,3,3.5,4,8.4,1,No
12,327,111,4,4,4.5,9,1,Yes
13,328,112,4,4,4.5,9.1,1,Depends
14,307,109,3,4,3,8,1,No
15,311,104,3,3.5,2,8.2,1,No
16,314,105,3,3.5,2.5,8.3,0,No
17,317,107,3,4,3,8.7,0,Depends
18,319,106,3,4,3,8,1,Depends
19,318,110,3,4,3,8.8,0,No
20,303,102,3,3.5,3,8.5,0,No
21,312,107,3,3,2,7.9,1,No
22,325,114,4,3,2,8.4,0,Depends
23,328,116,5,5,5,9.5,1,Yes
24,334,119,5,5,4.5,9.7,1,Yes
25,336,119,5,4,3.5,9.8,1,Yes
26,340,120,5,4.5,4.5,9.6,1,Yes
27,322,109,5,4.5,3.5,8.8,0,Depends
28,298,98,2,1.5,2.5,7.5,1,No
29,295,93,1,2,2,7.2,0,No
30,310,99,2,1.5,2,7.3,0,No
31,300,97,2,3,3,8.1,1,Depends
32,327,103,3,4,4,8.3,1,Depends
33,338,118,4,3,4.5,9.4,1,Yes
34,340,114,5,4,4,9.6,1,Yes
35,331,112,5,4,5,9.8,1,Yes
36,320,110,5,5,5,9.2,1,Yes
37,299,106,2,4,4,8.4,0,No
38,300,105,1,1,2,7.8,0,No
39,304,105,1,3,1.5,7.5,0,No
40,307,108,2,4,3.5,7.7,0,No
41,308,110,3,3.5,3,8,1,No
42,316,105,2,2.5,2.5,8.2,1,No
43,313,107,2,2.5,2,8.5,1,No
44,332,117,4,4.5,4,9.1,0,Yes
45,326,113,5,4.5,4,9.4,1,Yes
